dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp
2020-01-11,1,11,2020,2662.0,166.0,Belgium,BE,BEL,11522440,Europe
2020-01-11,1,11,2020,62.0,0.0,Estonia,EE,EST,1328976,Europe
2020-01-11,1,11,2020,2179.0,16.0,Croatia,HR,HRV,4058165,Europe
2020-01-11,1,11,2020,8679.0,29.0,Netherlands,NL,NLD,17407585,Europe
2020-01-11,1,11,2020,10523.0,169.0,Germany,DE,DEU,83166711,Europe
2020-01-11,1,11,2020,1678.0,0.0,Greece,EL,GRC,10718565,Europe
2020-01-11,1,11,2020,41.0,0.0,Iceland,IS,ISL,364134,Europe
2020-01-11,1,11,2020,619.0,4.0,Lithuania,LT,LTU,2794090,Europe
2020-01-11,1,11,2020,140.0,2.0,Malta,MT,MLT,514564,Europe
2020-01-11,1,11,2020,242.0,3.0,Latvia,LV,LVA,1907675,Europe
2020-01-11,1,11,2020,2258.0,47.0,Portugal,PT,PRT,10295909,Europe
2020-01-11,1,11,2020,16117.0,268.0,Spain,ES,ESP,47332614,Europe
2020-01-11,1,11,2020,3878.0,69.0,Hungary,HU,HUN,9769526,Europe
2020-01-11,1,11,2020,151.0,0.0,Finland,FI,FIN,5525292,Europe
2020-01-11,1,11,2020,17171.0,152.0,Poland,PL,POL,37958138,Europe
2020-01-11,1,11,2020,5324.0,99.0,Romania,RO,ROU,19328838,Europe
2020-01-11,1,11,2020,46290.0,231.0,France,FR,FRA,67320216,Europe
2020-01-11,1,11,2020,323.0,0.0,Norway,NO,NOR,5367580,Europe
2020-01-11,1,11,2020,557.0,25.0,Slovenia,SI,SVN,2095861,Europe
2020-01-11,1,11,2020,948.0,1.0,Denmark,DK,DNK,5822763,Europe
2020-01-11,1,11,2020,6551.0,224.0,Czechia,CZ,CZE,10693939,Europe
2020-01-11,1,11,2020,47.0,1.0,Liechtenstein,LI,LIE,38747,Europe
2020-01-11,1,11,2020,1225.0,25.0,Bulgaria,BG,BGR,6951482,Europe
2020-01-11,1,11,2020,1883.0,0.0,Slovakia,SK,SVK,5457873,Europe
2020-01-11,1,11,2020,197.0,0.0,Cyprus,CY,CYP,888005,Europe
2020-01-11,1,11,2020,546.0,2.0,Ireland,IE,IRL,4964440,Europe
2020-01-11,1,11,2020,29905.0,208.0,Italy,IT,ITA,59641488,Europe
2020-01-11,1,11,2020,4476.0,33.0,Austria,AT,AUT,8901064,Europe
2020-01-11,1,11,2020,320.0,0.0,Luxembourg,LU,LUX,626108,Europe
2020-01-12,1,12,2020,5181.0,100.0,Czechia,CZ,CZE,10693939,Europe
2020-01-12,1,12,2020,254.0,16.0,Ireland,IE,IRL,4964440,Europe
2020-01-12,1,12,2020,2199.0,0.0,Greece,EL,GRC,10718565,Europe
2020-01-12,1,12,2020,8083.0,775.0,France,FR,FRA,67320216,Europe
2020-01-12,1,12,2020,4272.0,199.0,Romania,RO,ROU,19328838,Europe
2020-01-12,1,12,2020,2043.0,30.0,Slovakia,SK,SVK,5457873,Europe
2020-01-12,1,12,2020,19217.0,658.0,Germany,DE,DEU,83166711,Europe
2020-01-12,1,12,2020,5819.0,67.0,Sweden,SE,SWE,10327589,Europe
2020-01-12,1,12,2020,2438.0,55.0,Slovenia,SI,SVN,2095861,Europe
